Age,BMI,Pregnancy Age,Family History,Radiation Exposure,Birth Control,Menstrual Cycle Age,Last Menstrual Cycle Age,Hormone Therapy,Alcohol Consumption,Inherited Gene,Previous History,Hormonal,Dense Breast Tissue,Risk,Consequent,agg,pregage,lm,mc,bi
28,33.4,26,Absent,High,High,10,48,None,High,Present,None,Imbalanced,Absent,Low,0.152263144,Young,Young,Middle-aged,Young,High
24,30,40,Present,Low,None,15,40,None,Moderate,Absent,None,Balanced,Absent,High,0.933825236,Young,Middle-aged,Middle-aged,Young,High
24,23.7,39,Present,High,None,10,44,None,Low,Absent,None,Balanced,Absent,Moderate,0.688821471,Young,Middle-aged,Middle-aged,Young,Low
32,21.2,32,Present,High,None,10,46,Low,High,Present,None,Balanced,Present,High,0.836773335,Young,Young,Middle-aged,Young,Low
25,19.4,35,Absent,High,Moderate,11,53,None,Moderate,Present,Present,Balanced,Present,Low,0.232425666,Young,Middle-aged,Older,Young,Low
35,31.7,35,Absent,Low,None,13,53,Moderate,Moderate,Present,None,Imbalanced,Present,Low,0.208833581,Middle-aged,Middle-aged,Older,Young,High
26,24.2,29,Present,Moderate,High,15,44,Low,None,Absent,Present,Balanced,Absent,High,0.796248835,Young,Young,Middle-aged,Young,Low
55,23.8,25,Present,Moderate,Moderate,11,47,Moderate,Low,Present,None,Balanced,Absent,High,0.864324972,Older,Young,Middle-aged,Young,Low
58,27.2,22,Present,Moderate,High,14,50,None,High,Absent,None,Balanced,Absent,High,0.86585763,Older,Young,Older,Young,Moderate
26,27.4,31,Present,High,Low,10,47,Moderate,Moderate,Absent,Present,Imbalanced,Present,Moderate,0.605508059,Young,Young,Middle-aged,Young,Moderate
42,19.4,39,Present,Moderate,Moderate,15,40,Low,Low,Present,None,Imbalanced,Absent,Low,0.077832327,Middle-aged,Middle-aged,Middle-aged,Young,Low
30,26.3,39,Present,Moderate,None,12,47,Moderate,Low,Present,None,Imbalanced,Present,Low,0.256098072,Young,Middle-aged,Middle-aged,Young,Moderate
28,27.7,27,Absent,High,Moderate,11,49,Moderate,Moderate,Present,None,Imbalanced,Absent,Moderate,0.571829692,Young,Young,Middle-aged,Young,Moderate
27,29.2,23,Present,Low,Moderate,15,52,Low,High,Absent,Present,Imbalanced,Present,High,0.701756011,Young,Young,Older,Young,Moderate
34,24.7,38,Absent,High,Low,15,40,High,Moderate,Absent,None,Imbalanced,Present,High,0.887666211,Young,Middle-aged,Middle-aged,Young,Low
55,19.3,27,Present,Moderate,Low,12,51,None,None,Absent,None,Balanced,Present,Moderate,0.587863335,Older,Young,Older,Young,Low
56,35,25,Present,Low,Low,13,44,Low,None,Present,Present,Imbalanced,Present,Low,0.020197327,Older,Young,Middle-aged,Young,High
42,33.9,37,Present,Moderate,None,14,42,Low,Low,Present,Present,Balanced,Absent,High,0.925801832,Middle-aged,Middle-aged,Middle-aged,Young,High
33,35,30,Absent,High,High,10,44,High,Low,Present,Present,Balanced,Present,Moderate,0.46894543,Young,Young,Middle-aged,Young,High
39,27.2,37,Absent,High,Moderate,14,50,Moderate,None,Absent,None,Imbalanced,Absent,Low,0.186654686,Middle-aged,Middle-aged,Older,Young,Moderate
48,19.8,34,Absent,Low,None,12,49,Low,Moderate,Absent,Present,Imbalanced,Present,High,0.740734706,Middle-aged,Young,Middle-aged,Young,Low
26,26.6,24,Absent,Moderate,Low,11,40,Low,High,Absent,Present,Balanced,Absent,Low,0.02496542,Young,Young,Middle-aged,Young,Moderate
21,34,34,Present,Moderate,High,11,54,None,Moderate,Absent,Present,Imbalanced,Present,Low,0.140152115,Young,Young,Older,Young,High
34,23.8,21,Absent,Moderate,High,13,52,None,None,Absent,None,Imbalanced,Absent,Moderate,0.588366637,Young,Young,Older,Young,Low
56,29,38,Present,High,Moderate,14,40,Moderate,Low,Absent,None,Balanced,Present,Moderate,0.508203279,Older,Middle-aged,Middle-aged,Young,Moderate
54,31.8,31,Present,Moderate,Moderate,12,53,High,Low,Absent,Present,Imbalanced,Absent,Low,0.038861942,Older,Young,Older,Young,High
42,25.8,28,Present,High,High,14,51,Moderate,None,Absent,None,Balanced,Present,High,0.989058241,Middle-aged,Young,Older,Young,Moderate
54,31.7,35,Present,Moderate,High,12,52,Low,High,Present,Present,Balanced,Present,Moderate,0.493297667,Older,Middle-aged,Older,Young,High
59,21.8,33,Absent,Low,None,10,55,Moderate,High,Absent,Present,Balanced,Present,Low,0.079637579,Older,Young,Older,Young,Low
50,22.8,26,Present,Moderate,Low,15,54,None,None,Present,Present,Balanced,Present,Moderate,0.606366686,Older,Young,Older,Young,Low
48,30.3,38,Absent,Moderate,Moderate,13,44,None,None,Present,Present,Imbalanced,Present,Moderate,0.436967245,Middle-aged,Middle-aged,Middle-aged,Young,High
32,19.4,21,Present,High,Low,10,53,None,High,Absent,Present,Balanced,Absent,High,0.967438514,Young,Young,Older,Young,Low
43,23.5,30,Present,High,High,11,44,Low,Low,Absent,Present,Imbalanced,Present,Low,0.273711759,Middle-aged,Young,Middle-aged,Young,Low
26,33,38,Present,Moderate,None,15,43,None,None,Absent,None,Imbalanced,Present,Moderate,0.316729269,Young,Middle-aged,Middle-aged,Young,High
23,29.3,27,Absent,High,Moderate,12,52,Low,None,Present,Present,Balanced,Absent,Moderate,0.551339291,Young,Young,Older,Young,Moderate
35,35,34,Present,Moderate,Low,11,49,None,None,Present,None,Imbalanced,Present,Low,0.1092085,Middle-aged,Young,Middle-aged,Young,High
